ac'hanoch	ac'hanoc'h
achu	echu
adkemmeret	adkemeret
aeoc'h	aesoc'h
aluletez	alumetez
aman	amañ
amélie	Ameli
aotroù	aotrou
aozadennn	aozadenn
arall	all
araok	a-raok
argoat	Argoad
arri	erru
atao	atav
avañtur	avantur
a-walac'h	a-walc'h
awalc'h	a-walc'h
awalch	a-walc'h
'ban	b'an
'bar	b'ar
beket	betek
beljia	Belgia
bennaket	bennak
bernn	benn
bezaén	bezañ
biniou	binioù
bopred	bepred
bourrabl	bourrapl
breiz	Breizh
brezhonek	brezhoneg
brezoneg	brezhoneg
buannoc'h	buanoc'h
bujet	budjed
catherine	Katrin
cheller	c'heller
chenchet	cheñchet
chigago	Chicago
choant	c'hoant
choant 	c'hoant 
choari	c'hoari
c'hoarvezhout	c'hoarvezout
c'hoazhin	c'hoarzhin
c'homlec'h	chomlec'h
c'honea	c'hounez
choulz 	 c'houlz
c'houlzma	c'houlz ma
c'hoût	c'houzout
c'houzhout	c'houzout
c'hovid-19	C'hovid 19
christian	Kristian
christophe	Kristof
c'hwezho	c'hwezhañ
chwi	c'hwi
c'oazh	c'hoazh
covid-19	Covid 19
c'whi	c'hwi
dalc'hmad	dalc'hmat
dalvea	dalvez
danemark	Danmark
dansoù	dañsoù
dañvez	danvez
dañvezioù	danvezioù
dd'ar	d'ar
dervezh	devezh
diagnostics	diagnostik
dilamour	dilabour
dilec'hiadennoù	dilerc'hiadennoù
diouzthu	diouzhtu
diposupl	dibosupl
dishenvel	disheñvel
dishoñjal	disoñjal
dlihad	dilhad
doareou	doareoù
dominique	Dominig
drebiñ	debriñ
dregant	dre gant
egipt	Ejipt
eizhteiz	eizhtez
eizvedenn	eizhvedenn
electro	elektro
emcihañs	emichañs
émile	Emil
emsalc'h	emzalc'h
enañ	ennañ
enoet	enoeet
eric	Erik
erwann	Erwan
evid	evit
evt	evit
fabrice	Fabris
facebook	Facebook
formaj	fourmaj
founnus	fonnus
france	Frañs
frederig	Frederik
garom	garomp
gober	ober
goulou	gouloù
gourvenec	Gourvenneg
gourvennec	Gourvenneg
goût	gouzout
grenv	greñv
gulennet	goulennet
gwaneoc'h	ganeoc'h
gwann	gwan
gwener	Gwener
hanterkant	hanter-kant
hanterkanvedenn	hanterkantvedenn
hardiz	hardizh
hegaziñ	hegasiñ
helena	Elena
helene	Elen
hélène	Elen
helen	Elen
hirie	hiziv
hirio	hiziv
hiriv	hiziv
hounnezh	honnezh
huelgoat	Uhelgoad
iraq	Irak
isabelle	Izabel
japon	Japan
jezus	Jezuz
jug	chug
justine	Justin
kambodjia	Kambodja
kanved	kantved
kaondaonet	kondaonet
kaorintin	Kaourintin
kaozadennoù	kaozeadennoù
kaozet	kaozeet
klanv	klañv
koa	kwa
konchennoù	koñchennoù
lâran	lavaran
lâras	lavaras
lâre	lavare
lâren	lavaren
laret	lavaret
lâret	lavaret
lâr	lavar
lâro	lavaro
legumajoù	legumaj
lemet	lemmet
lenann	lennan
llaer	laer
loïc	Loig
loïg	Loig
lun	Lun
madalezhus	madelezhus
maël	Mael
'maint	emaint
maoc'h	emaoc'h
maomp	emaomp
'maon	emaon
marcel	Marsel
marc'hatmatoc'h	marc'hadmatoc'h
maría	Maria
marianna	Mariana
marie	Mari
marmoused	marmouzed
mediaou	mediaoù
mélanie	Melani
memez	memes
mennozioù	menozioù
'met	nemet
'meus	'm eus
meus	m'eus
migoned	mignoned
migon	mignon
miliadou	miliadoù
mille 	mil
milliadou	miliadoù
milliadoù	miliadoù
million	milion
'moa	'm oa
moneizh	moneiz
monneizh	moneiz
mouezioù	mouezhioù
moutik	moutig
musique	muzik
nebuet	nebeut
neizhañ	neizhiañ
'neus	'n eus
neus	'n eus
'noa	'n oa
normandie	Normandi
nozvat	noz vat
office	ofis
pannelloù	panelloù
patrig	Padrig
p'az	pa 'z
penaoz	penaos
personnel	personel
perzhiou	perzhioù
peseut	peseurt
philippe	Filip
plastek	plastik
plouescat	Ploueskad
plougastel	Plougastell
poher	Poc'hêr
posubl	posupl
strategiezhioù	strategiezhoù
pugur	peogwir
ropars	Roparz
rostrenn	Rostren
russia	Rusia
seitekved	seitekvet
siezhvet	seizhvet
skinwell	skinwel
skriviñ	skrivañ
skzuizh	skuizh
solkial	sokial
sonedagoù	sonadegoù
sonj	soñj
stañk	stank
stéphan	Stefan
stokholm	Stockholm
sul	Sul
tailand	Thailand
taïland	Thailand
tanguy	Tangi
taski	taksi
techout	tec'hout
télégramme	telegram
thaïland	Thailand
tofu	tofou
tonnenn	tonenn
toud	tout
traouigoù	traoùigoù
traou	traoù
treuskas	treuzkas
triugentved	triugentvet
twitter	Twitter
ukrainia	Ukraina
ukrenia	Ukraina
unnan	unan
vakansoù	vakañsoù
'vat	avat
vestronia	vestroniañ
victoria	Viktoria
victor	Viktor
vidon	evidon
vigouden	Vigoudenn
vilajen	vilajenn
virgulen	virgulenn
vitale	vital
'vit	evit
vousc'hoarzin	vousc'hoarzhin
vousc'hoarz	vousc'hoarzh
vrummenn	vrumenn
warchoazh	warc'hoazh
warlerc'h	war lerc'h
werzho	werzhañ
yannick	Yannig
yaou	Yaou
youtube	Youtube
'zeus	'z eus
zrebimp	zebrimp
